设备编号,出厂日期,安装日期,故障日期,事件,观测结束日期,持续时间
1,2008-06-26,2008-08-13,2009-03-01,1,2009-03-01,200
1,2008-06-26,2008-08-13,2009-05-29,1,2009-05-29,289
1,2008-06-26,2008-08-13,2010-05-19,1,2010-05-19,644
1,2008-06-26,2008-08-13,2010-08-06,1,2010-08-06,723
1,2008-06-26,2008-08-13,2010-12-23,1,2010-12-23,862
1,2008-06-26,2008-08-13,2012-03-25,1,2012-03-25,1320
1,2008-06-26,2008-08-13,2012-11-14,1,2012-11-14,1554
1,2008-06-26,2008-08-13,2012-12-01,1,2012-12-01,1571
1,2008-06-26,2008-08-13,2013-08-28,1,2013-08-28,1841
1,2008-06-26,2008-08-13,2014-10-19,1,2014-10-19,2258
1,2008-06-26,2008-08-13,2015-08-29,1,2015-08-29,2572
1,2008-06-26,2008-08-13,2015-12-23,1,2015-12-23,2688
1,2008-06-26,2008-08-13,2016-10-31,1,2016-10-31,3001
1,2008-06-26,2008-08-13,2016-11-14,1,2016-11-14,3015
1,2008-06-26,2008-08-13,2017-01-05,1,2017-01-05,3067
1,2008-06-26,2008-08-13,2018-01-02,1,2018-01-02,3429
1,2008-06-26,2008-08-13,2018-01-09,1,2018-01-09,3436
1,2008-06-26,2008-08-13,2018-04-10,1,2018-04-10,3527
1,2008-06-26,2008-08-13,2019-03-30,1,2019-03-30,3881
1,2008-06-26,2008-08-13,2019-07-14,1,2019-07-14,3987
1,2008-06-26,2008-08-13,2019-07-29,1,2019-07-29,4002
1,2008-06-26,2008-08-13,2019-11-16,1,2019-11-16,4112
1,2008-06-26,2008-08-13,2020-07-10,1,2020-07-10,4349
1,2008-06-26,2008-08-13,2020-09-16,1,2020-09-16,4417
2,2020-11-02,2020-12-31,,0,2020-12-31,0
3,2005-12-12,2006-05-26,2007-10-16,1,2007-10-16,508
3,2005-12-12,2006-05-26,2007-11-18,1,2007-11-18,541
3,2005-12-12,2006-05-26,2007-12-05,1,2007-12-05,558
3,2005-12-12,2006-05-26,2008-02-07,1,2008-02-07,622
3,2005-12-12,2006-05-26,2008-05-30,1,2008-05-30,735
3,2005-12-12,2006-05-26,2008-06-29,1,2008-06-29,765
3,2005-12-12,2006-05-26,2008-08-17,1,2008-08-17,814
3,2005-12-12,2006-05-26,2009-12-17,1,2009-12-17,1301
3,2005-12-12,2006-05-26,2010-07-30,1,2010-07-30,1526
3,2005-12-12,2006-05-26,2011-01-10,1,2011-01-10,1690
3,2005-12-12,2006-05-26,2011-08-19,1,2011-08-19,1911
3,2005-12-12,2006-05-26,2011-08-19,1,2011-08-19,1911
3,2005-12-12,2006-05-26,2011-09-16,1,2011-09-16,1939
3,2005-12-12,2006-05-26,2012-04-14,1,2012-04-14,2150
3,2005-12-12,2006-05-26,2012-11-25,1,2012-11-25,2375
3,2005-12-12,2006-05-26,2013-11-05,1,2013-11-05,2720
