Device ID,Manufacture Date,Installation Date,Fault Date
1,2018-09-10,2018-09-20,2019-10-30
1,2018-09-10,2018-09-20,2020-11-20
1,2018-09-10,2018-09-20,2021-09-30
1,2018-09-10,2018-09-20,2022-06-26
1,2018-09-10,2018-09-20,2023-04-08
2,2019-08-09,2019-10-04,2020-08-19
2,2019-08-09,2019-10-04,2021-09-28
2,2019-08-09,2019-10-04,2022-09-17
2,2019-08-09,2019-10-04,2023-07-13
3,2012-05-10,2012-06-09,2013-05-15
3,2012-05-10,2012-06-09,2014-04-28
3,2012-05-10,2012-06-09,2015-03-13
3,2012-05-10,2012-06-09,2016-02-15
3,2012-05-10,2012-06-09,2016-11-22
3,2012-05-10,2012-06-09,2017-09-07
3,2012-05-10,2012-06-09,2018-05-24
3,2012-05-10,2012-06-09,2019-01-31
3,2012-05-10,2012-06-09,2019-09-14
3,2012-05-10,2012-06-09,2020-05-06
3,2012-05-10,2012-06-09,2020-12-13
3,2012-05-10,2012-06-09,2021-07-04
3,2012-05-10,2012-06-09,2022-01-14
3,2012-05-10,2012-06-09,2022-06-19
3,2012-05-10,2012-06-09,2022-12-05
3,2012-05-10,2012-06-09,2023-05-28
3,2012-05-10,2012-06-09,2023-10-27
4,2013-07-18,2013-11-04,2014-11-02
4,2013-07-18,2013-11-04,2015-10-26
4,2013-07-18,2013-11-04,2016-08-21
4,2013-07-18,2013-11-04,2017-05-15
4,2013-07-18,2013-11-04,2018-02-24
4,2013-07-18,2013-11-04,2018-11-09
4,2013-07-18,2013-11-04,2019-07-31
4,2013-07-18,2013-11-04,2020-02-26
4,2013-07-18,2013-11-04,2020-11-04
4,2013-07-18,2013-11-04,2021-06-02
4,2013-07-18,2013-11-04,2022-01-22
4,2013-07-18,2013-11-04,2022-08-05
4,2013-07-18,2013-11-04,2023-02-10
4,2013-07-18,2013-11-04,2023-08-05
5,2013-02-04,2013-02-09,2014-05-10
5,2013-02-04,2013-02-09,2015-03-29
5,2013-02-04,2013-02-09,2016-03-18
5,2013-02-04,2013-02-09,2016-12-12
5,2013-02-04,2013-02-09,2017-10-06
