Device ID,Manufacture Date,Installation Date,Fault Date,Fault Age,Next Fault Date,Predicted Fault Interval Days
1,2018-09-10,2018-09-20,2023-04-08,1661,2023-12-16 18:47:18.427747200,252.78285
2,2019-08-09,2019-10-04,2023-07-13,1378,2024-04-04 16:48:48.515587200,266.70056
3,2012-05-10,2012-06-09,2023-10-27,4157,2024-03-22 13:35:16.406217600,147.56616
4,2013-07-18,2013-11-04,2023-08-05,3561,2024-01-03 06:12:55.195315200,151.25897
5,2013-02-04,2013-02-09,2023-09-27,3882,2024-02-22 04:17:58.857388800,148.17915
6,2012-12-31,2013-04-29,2023-10-01,3807,2024-02-26 14:20:55.957027200,148.59787
7,2020-04-30,2020-06-02,2023-04-22,1054,2024-01-31 02:29:56.484412800,284.10413
8,2018-06-20,2018-10-16,2023-07-12,1730,2024-03-17 17:29:22.207027200,249.72873
9,2014-06-27,2014-08-31,2023-09-23,3310,2024-02-29 03:02:54.023423999,159.12701
10,2015-12-10,2016-05-04,2023-08-27,2671,2024-03-18 21:56:22.910179200,204.91415
11,2011-04-12,2011-10-06,2023-08-31,4347,2024-01-25 11:09:21.181622400,147.46483
12,2013-05-23,2013-06-03,2023-08-22,3732,2024-01-18 04:42:06.416035200,149.1959
13,2010-11-27,2011-02-20,2023-07-05,4518,2023-11-29 10:25:00.732432000,147.43404
14,2014-01-22,2014-02-17,2023-08-30,3481,2024-01-29 14:53:19.218739200,152.62036
15,2015-11-06,2016-01-08,2023-12-28,2911,2024-06-30 04:35:36.181622400,185.19139
16,2019-06-07,2019-09-01,2023-05-13,1350,2024-02-05 14:13:09.257836800,268.59247
17,2018-09-07,2018-11-05,2023-04-19,1626,2023-12-29 07:24:40.957027200,254.3088
18,2017-12-29,2018-01-25,2023-07-11,1993,2024-03-04 22:27:23.115225600,237.93568
19,2020-03-24,2020-09-17,2023-03-16,910,2023-12-28 10:14:05.507836800,287.42645
20,2010-05-11,2010-10-19,2022-12-26,4451,2023-05-22 10:38:27.568377600,147.44337
21,2014-08-13,2014-11-19,2023-10-18,3255,2024-03-28 11:26:22.910179200,162.47665
22,2019-04-04,2019-07-18,2023-05-25,1407,2024-02-13 21:38:56.132793600,264.90204
23,2012-02-09,2012-05-18,2023-09-29,4151,2024-02-23 13:41:42.685584000,147.57063
24,2016-07-19,2016-11-25,2023-07-22,2430,2024-02-24 13:29:52.089820800,217.56241
25,2014-02-24,2014-07-23,2023-08-14,3309,2024-01-20 04:28:47.490268800,159.18666
26,2019-07-18,2019-09-11,2023-03-31,1297,2023-12-28 12:53:49.980451200,272.53738
27,2017-10-24,2017-10-30,2023-08-26,2126,2024-04-13 23:45:44.384774400,231.9901
28,2016-08-30,2016-12-03,2023-11-08,2531,2024-06-07 15:36:56.162073600,212.65065
29,2013-04-30,2013-09-10,2023-11-09,3712,2024-04-06 09:17:38.642611200,149.38725
30,2012-08-13,2012-11-23,2023-09-22,3955,2024-02-16 21:55:01.171891200,147.91321
31,2016-05-13,2016-05-16,2023-05-13,2553,2023-12-10 13:28:09.257836800,211.56122
32,2013-03-30,2013-04-22,2023-09-08,3791,2024-02-03 17:03:29.179728000,148.71075
33,2011-04-05,2011-05-28,2023-07-26,4442,2023-12-20 10:41:25.546848000,147.44543
34,2019-04-09,2019-09-21,2023-03-09,1265,2023-12-08 19:32:30.292972799,274.81424
35,2010-01-22,2010-04-15,2022-06-23,4452,2022-11-17 10:38:27.568377600,147.44337
36,2016-04-19,2016-09-11,2023-06-08,2461,2024-01-10 01:39:11.074233600,216.06888
37,2012-01-18,2012-04-12,2023-12-01,4250,2024-04-26 12:00:13.183603199,147.50015
38,2017-12-14,2018-03-02,2023-08-23,2000,2024-04-16 15:17:37.324233600,237.63724
39,2019-12-12,2020-03-31,2023-10-16,1294,2024-07-14 18:02:19.746124800,272.75162
40,2011-04-20,2011-04-21,2023-08-24,4508,2024-01-18 10:28:10.576214400,147.43623
41,2012-12-18,2013-02-07,2023-09-16,3873,2024-02-11 05:15:39.550809600,148.21921
42,2017-01-02,2017-06-24,2023-10-05,2294,2024-05-16 02:56:58.066396800,224.1229
43,2020-04-11,2020-04-15,2023-12-23,1347,2024-09-16 19:17:25.898467200,268.80377
44,2015-08-10,2015-12-01,2023-11-11,2902,2024-05-14 20:33:06.328108800,185.85632
45,2019-09-18,2019-10-20,2023-06-22,1341,2024-03-17 05:29:48.574233600,269.22903
46,2017-07-10,2017-08-13,2023-11-21,2291,2024-07-02 06:32:23.261712000,224.27249
47,2012-09-02,2012-12-03,2023-10-15,3968,2024-03-10 20:56:26.425766400,147.87253
48,2014-12-12,2015-03-17,2023-11-18,3168,2024-05-03 18:04:53.994144000,167.7534
49,2010-07-09,2010-09-19,2023-04-12,4588,2023-09-06 10:12:52.998019200,147.42561
50,2018-03-25,2018-05-03,2023-06-27,1881,2024-02-24 20:29:24.843782400,242.85376
51,2017-06-27,2017-11-28,2023-03-30,1948,2023-11-24 21:05:09.814416000,239.87859
52,2018-03-25,2018-09-03,2023-08-24,1816,2024-04-25 19:44:02.431622400,245.82225
53,2011-07-17,2011-11-12,2023-10-10,4350,2024-03-05 11:08:25.810540800,147.46419
54,2015-03-15,2015-03-18,2023-06-05,3001,2023-11-30 07:51:35.947296000,178.3275
55,2019-12-18,2020-04-19,2023-11-04,1294,2024-08-02 18:02:19.746124800,272.75162
56,2013-06-21,2013-08-10,2023-07-21,3632,2023-12-18 06:58:49.248019200,150.29085
57,2017-11-19,2017-12-01,2023-10-17,2146,2024-06-04 01:38:35.478556800,231.06847
58,2014-03-09,2014-05-02,2023-11-13,3482,2024-04-13 14:29:28.798828800,152.6038
59,2018-10-08,2019-02-18,2023-08-13,1637,2024-04-22 19:47:16.230451200,253.8245
60,2019-09-27,2019-11-23,2023-07-02,1317,2024-03-28 23:59:25.722614400,270.9996
61,2020-08-26,2021-01-18,2023-11-27,1043,2024-09-06 10:03:59.062521600,284.41943
62,2011-10-09,2012-01-29,2023-11-05,4298,2024-03-31 11:30:51.855494400,147.47977
63,2015-08-31,2015-10-17,2023-08-24,2868,2024-02-28 11:39:57.656217600,188.48608
64,2017-11-28,2018-04-28,2023-06-23,1882,2024-02-20 19:29:48.134774400,242.81236
65,2016-01-24,2016-04-18,2023-08-31,2691,2024-03-21 13:32:09.199190400,203.564
66,2013-07-21,2013-12-10,2023-12-08,3650,2024-05-06 01:41:09.726576000,150.07025
67,2016-09-01,2016-11-06,2023-04-24,2360,2023-11-30 22:56:02.255856000,220.95558
68,2011-08-24,2011-11-07,2023-12-02,4408,2024-04-27 10:45:05.712883200,147.44798
69,2016-06-21,2016-12-17,2023-08-25,2442,2024-03-28 23:37:27.363244800,216.98434
70,2015-08-24,2015-12-05,2023-08-22,2817,2024-03-01 21:42:46.845676800,192.90471
71,2010-08-30,2011-02-12,2023-06-04,4495,2023-10-29 10:29:41.542972800,147.43729
72,2015-08-04,2015-09-11,2023-08-18,2898,2024-02-20 03:40:33.691440000,186.15317
73,2017-09-25,2017-11-14,2023-12-26,2233,2024-08-09 00:23:00.322252800,227.01598
74,2019-05-11,2019-08-17,2023-05-17,1369,2024-02-08 07:01:44.589820800,267.29288
75,2017-02-25,2017-05-18,2023-12-05,2392,2024-07-11 09:44:52.089820800,219.40616
76,2018-01-24,2018-02-23,2023-09-19,2034,2024-05-12 03:25:53.027385600,236.14297
77,2013-09-25,2013-12-13,2023-11-06,3615,2024-04-04 12:11:07.089820800,150.50772
78,2015-11-10,2016-02-09,2023-09-03,2763,2024-03-18 20:12:36.298828800,197.84209
79,2013-10-22,2014-04-19,2023-08-26,3416,2024-01-27 05:58:31.669910400,154.24898
80,2018-03-23,2018-05-14,2023-09-25,1960,2024-05-21 08:36:12.216758400,239.35847
81,2014-01-18,2014-07-03,2023-07-09,3293,2023-12-16 03:17:22.822252799,160.13707
82,2019-08-01,2019-10-19,2023-07-24,1374,2024-04-15 23:11:07.968739200,266.96606
83,2016-12-31,2017-01-30,2023-08-19,2392,2024-03-25 09:44:52.089820800,219.40616
84,2012-02-15,2012-05-31,2023-12-22,4222,2024-05-17 12:25:00.292972799,147.51736
85,2020-12-28,2021-02-17,2023-11-10,996,2024-08-21 15:46:45.468739200,285.65747
86,2010-02-04,2010-04-26,2022-06-21,4439,2022-11-15 10:41:25.546848000,147.44543
