Device ID,Manufacture Date,Installation Date,Fault Date,Fault Age,Next Fault Date,Fault Interval Days
1,2018-09-10,2018-09-20,2019-10-30,405,2020-11-20,387.0
1,2018-09-10,2018-09-20,2020-11-20,792,2021-09-30,314.0
1,2018-09-10,2018-09-20,2021-09-30,1106,2022-06-26,269.0
1,2018-09-10,2018-09-20,2022-06-26,1375,2023-04-08,286.0
2,2019-08-09,2019-10-04,2020-08-19,320,2021-09-28,405.0
2,2019-08-09,2019-10-04,2021-09-28,725,2022-09-17,354.0
2,2019-08-09,2019-10-04,2022-09-17,1079,2023-07-13,299.0
3,2012-05-10,2012-06-09,2013-05-15,340,2014-04-28,348.0
3,2012-05-10,2012-06-09,2014-04-28,688,2015-03-13,319.0
3,2012-05-10,2012-06-09,2015-03-13,1007,2016-02-15,339.0
3,2012-05-10,2012-06-09,2016-02-15,1346,2016-11-22,281.0
3,2012-05-10,2012-06-09,2016-11-22,1627,2017-09-07,289.0
3,2012-05-10,2012-06-09,2017-09-07,1916,2018-05-24,259.0
3,2012-05-10,2012-06-09,2018-05-24,2175,2019-01-31,252.0
3,2012-05-10,2012-06-09,2019-01-31,2427,2019-09-14,226.0
3,2012-05-10,2012-06-09,2019-09-14,2653,2020-05-06,235.0
3,2012-05-10,2012-06-09,2020-05-06,2888,2020-12-13,221.0
3,2012-05-10,2012-06-09,2020-12-13,3109,2021-07-04,203.0
3,2012-05-10,2012-06-09,2021-07-04,3312,2022-01-14,194.0
3,2012-05-10,2012-06-09,2022-01-14,3506,2022-06-19,156.0
3,2012-05-10,2012-06-09,2022-06-19,3662,2022-12-05,169.0
3,2012-05-10,2012-06-09,2022-12-05,3831,2023-05-28,174.0
3,2012-05-10,2012-06-09,2023-05-28,4005,2023-10-27,152.0
4,2013-07-18,2013-11-04,2014-11-02,363,2015-10-26,358.0
4,2013-07-18,2013-11-04,2015-10-26,721,2016-08-21,300.0
4,2013-07-18,2013-11-04,2016-08-21,1021,2017-05-15,267.0
4,2013-07-18,2013-11-04,2017-05-15,1288,2018-02-24,285.0
4,2013-07-18,2013-11-04,2018-02-24,1573,2018-11-09,258.0
4,2013-07-18,2013-11-04,2018-11-09,1831,2019-07-31,264.0
4,2013-07-18,2013-11-04,2019-07-31,2095,2020-02-26,210.0
